anon_id,driverId,forename,surname
Driver A,830,Max,Verstappen
Driver B,844,Charles,Leclerc
Driver C,815,Sergio,Pérez
Driver D,847,George,Russell
Driver E,832,Carlos,Sainz
Driver F,1,Lewis,Hamilton
Driver G,846,Lando,Norris
Driver H,839,Esteban,Ocon
Driver I,4,Fernando,Alonso
Driver J,822,Valtteri,Bottas
Driver K,817,Daniel,Ricciardo
Driver L,20,Sebastian,Vettel
Driver M,856,Nyck,de Vries
Driver N,825,Kevin,Magnussen
Driver O,807,Nico,Hülkenberg
Driver P,842,Pierre,Gasly
Driver Q,848,Alexander,Albon
Driver R,855,Guanyu,Zhou
Driver S,840,Lance,Stroll
Driver T,854,Mick,Schumacher
Driver U,852,Yuki,Tsunoda
Driver V,849,Nicholas,Latifi
